Genres,Film Count,Average Ratings
"Animation,Comedy,War",6,64.3333333333333
"Animation,Documentary,Musical",6,70.8333333333333
"Animation,History,Music",6,72.6666666666667
"Animation,Talk-Show",6,57.1666666666667
"Animation,Thriller",6,66.5
"Biography,Comedy,Fantasy",6,66.5
"Biography,Comedy,Sci-Fi",6,68.1666666666667
"Biography,Crime,Horror",6,47.1666666666667
"Biography,Crime,Reality-TV",6,91.8333333333333
"Biography,Crime,Thriller",6,60.8333333333333
"Biography,Documentary,Thriller",6,69.6666666666667
"Biography,Family,History",6,70.6666666666667
"Biography,Family,Short",6,74.8333333333333
"Biography,Fantasy,Short",6,77.3333333333333
"Biography,History,Talk-Show",6,77.1666666666667
"Biography,Romance,Short",6,71
"Biography,Thriller",6,64.6666666666667
"Comedy,Game-Show,Short",6,68.3333333333333
"Comedy,Horror,Western",6,48
"Comedy,Music,War",6,53
"Crime,History,Short",6,65.1666666666667
"Crime,Horror,Musical",6,49.8333333333333
"Crime,Musical,Mystery",6,66.1666666666667
"Crime,Musical,Romance",6,66.8333333333333
"Crime,War",6,66.3333333333333
"Documentary,Fantasy,Music",6,57.1666666666667
"Documentary,Horror,Music",6,73
"Documentary,Short,Thriller",6,70.1666666666667
"Drama,History,News",6,71.6666666666667
"Drama,Horror,War",6,66.6666666666667
"Drama,Musical,Western",6,63.3333333333333
"Drama,News,Reality-TV",6,70.6666666666667
"Family,Fantasy,Sport",6,58
"Family,Horror,Sci-Fi",6,52.8333333333333
"Family,Reality-TV,Sport",6,64
"Fantasy,Western",6,50.3333333333333
"History,Mystery,Short",6,65.6666666666667
"Horror,Musical,Sci-Fi",6,62.1666666666667
"Musical,Sci-Fi,Short",6,71.1666666666667
"Short,Thriller,War",6,73.6666666666667
"Thriller,Western",6,63
"Action,Crime,Film-Noir",7,66.2857142857143
"Action,Crime,Music",7,56
"Action,Drama,Reality-TV",7,78.7142857142857
"Action,Fantasy,Sport",7,65.7142857142857
"Action,Music,Romance",7,65
"Action,Musical,Thriller",7,58.8571428571429
"Adult,Animation,Sci-Fi",7,63.1428571428571
"Adult,Drama,Sport",7,51.8571428571429
"Adult,Drama,War",7,60.5714285714286
"Adventure,Music,Romance",7,59.1428571428571
"Adventure,Short,Western",7,60.1428571428571
"Animation,Biography,Fantasy",7,71.4285714285714
